id;question;options;correct_answer;explanation;context_image
23;If we increase data to $N=50$ (same distribution), will the resulting MAP estimate...;move farther away from ML|stay the same|move closer to ML;move closer to ML;As more data is collected, the likelihood term dominates the prior. The MAP estimate will move away from the prior peak and closer to the ML estimate.;info_thumbtack.png
24;How many unconditional distributions have to be estimated when calculating the likelihood?;1|2|3|4|5;4;Unconditional distributions are needed for the root nodes (those without parents). In this structure, Difficulty, SAT, Grade, and Letter are all parents of Intelligence and have no parents of their own.;info_student_bn.png
25;True or False: This structure can fit all possible joint distributions over the five variables;True|False;False;False. Only a fully connected graph can represent all joint distributions. This structure assumes several conditional independencies.;info_student_bn.png
26;How many independent parameters must be learned for variable I?;4|8|12|24|48;24;I has parents D (2 values), S (2), G (3), and L (2). The number of parent combinations is $2 \times 2 \times 3 \times 2 = 24$. Each combination requires an independent parameter.;info_student_bn.png
27;True or False: When we add additional edges to the model, the BIC score can only decrease;True|False;False;False. BIC balances fit (likelihood) and complexity. If an edge significantly improves the fit, the BIC score can increase.;info_student_bn.png
28;True or False: If likelihood increases with an additional edge, the BIC score will also increase;True|False;False;False. Not necessarily. If the likelihood increase is small but the complexity penalty is large, the overall BIC score will decrease.;info_student_bn.png
29;True or False: Compared to the previous model, the ML estimates for variables D, G, and L will not change;True|False;True;True. Because the structure still treats D, G, and L as independent root nodes or non-descendants of the new edge, their local CPT estimation remains unchanged.;info_student_bn.png
30;True or False: The likelihood of the new model cannot be lower than the likelihood of the previous one;True|False;True;True. Adding an edge (increasing complexity) always allows a model to fit the training data at least as well as the simpler version.;info_student_bn.png
31;True or False: The most probable observation at time 0 is humid;True|False;False;False. Based on $P(O_0) = \sum P(O_0|S_0)P(S_0)$ using the provided matrices, 'dry' has the highest probability (0.37).;info_weather_hmm.png
32;True or False: If we added 'wet' to observations, the B matrix would become a 4x4 matrix;True|False;False;False. The B matrix size is (States x Observations). With 3 states and 4 observations, it would be a 3x4 matrix.;info_weather_hmm.png
33;True or False: If we added 'snowing' to states, the A matrix would become a 3x4 matrix;True|False;False;False. The transition matrix A is always square (States x States). With 4 states, it would be a 4x4 matrix.;info_weather_hmm.png
34;True or False: The A matrix must always be a square matrix, independent of the number of states;True|False;True;True. The transition matrix maps the state at time $t$ to the same state space at $t+1$, so it must always be $N \times N$.;info_weather_hmm.png
35;True or False: If we added an additional state value, we would also have to add an additional observation value;True|False;False;False. The number of states and the number of observations are independent design choices in an HMM.;info_weather_hmm.png
36;True or False: The distribution $P(S_0 | O)$ calculated by Smoothing will always equal $\Pi$;True|False;False;False. Smoothing uses the entire observation sequence to update the estimate of $S_0$. It will only equal $\Pi$ if no evidence is provided.;info_weather_hmm.png
37;True or False: With this model, we cannot model a GPS sensor whose precision changes with the speed of motion;True|False;True;True. A standard Kalman Filter uses a linear observation model with constant noise. Speed-dependent precision would require a non-linear dependency.;info_bicycle_kf.png
38;True or False: If $V^{(t+1)}$ also depended on $P^{(t)}$, the A matrix would need an additional column;True|False;False;False. The A matrix already has a column for $P^{(t)}$. The dependency would just change a zero entry to a non-zero coefficient.;info_bicycle_kf.png
39;True or False: The coefficient matrix A can be used to encode certain assumptions about the expected precision of the GPS sensor;True|False;False;False. Matrix A encodes the transition physics. GPS precision is handled by the observation noise covariance matrix $R$.;info_bicycle_kf.png
40;True or False: If $V^{(t+1)}$ also depended on $P^{(t)}$, the size of the A matrix would double;True|False;False;False. The size of A depends on the number of state variables (P and V), which remains two. It stays a 2x2 matrix.;info_bicycle_kf.png
41;True or False: If the bicycle speeds up over a long time, the A matrix will change;True|False;False;False. Matrix A defines the laws of motion (e.g., $P_{new} = P_{old} + V \cdot \Delta t$), which are independent of the current speed value.;info_bicycle_kf.png
