id;question;options;correct_answer;explanation;context_image
20;When learning the structure of a Bayesian Network, what is the primary purpose of the BIC (Bayesian Information Criterion) score?;To penalize complex models and prevent overfitting|To find the network with the absolute maximum likelihood|To guarantee finding the globally optimal network structure|To increase the number of edges for better accuracy;To penalize complex models and prevent overfitting;The BIC score balances the fit of the model to the data (likelihood) with a penalty term for the number of parameters (complexity), helping to avoid overfitting.;
21;Why is searching the space of all possible DAGs computationally difficult in Structure Learning?;Because the number of possible DAGs is super-exponential in the number of variables|Because cyclic graphs must be included|Because the data is usually continuous|Because Maximum Likelihood scores cannot be computed for DAGs;Because the number of possible DAGs is super-exponential in the number of variables;The search space grows super-exponentially, making exhaustive search impossible for all but the smallest networks.;
22;In a Hidden Markov Model (HMM), what does the 'First-order Markov assumption' state?;The current state depends only on the previous state|The current state depends on all previous states|The observation depends only on the previous observation|The observation depends on the previous state;The current state depends only on the previous state;The first-order Markov assumption implies that the future is independent of the past given the present.;
23;What defines the 'Sensor Model' (or observation model) in an HMM?;P(E_t | X_t)|P(X_t | X_{t-1})|P(X_t | E_t)|P(E_t | E_{t-1});P(E_t | X_t);The sensor model defines the probability of making observation E_t given the current hidden state X_t.;
24;What defines the 'Transition Model' in an HMM?;P(X_t | X_{t-1})|P(E_t | X_t)|P(X_t | E_t)|P(E_t | E_{t-1});P(X_t | X_{t-1});The transition model defines the probability of moving to state X_t given the system was previously in state X_{t-1}.;
25;Which HMM inference task computes the probability distribution of the current state, given all evidence up to the present?;Filtering|Smoothing|Prediction|Most likely explanation;Filtering;Filtering (or state estimation) computes the belief state P(X_t | e_{1:t}), updating the estimate recursively as new evidence arrives.;
26;Which HMM inference task computes the probability distribution of a past state, given all evidence up to the present?;Smoothing|Filtering|Prediction|Most likely explanation;Smoothing;Smoothing estimates a state in the past based on all available evidence up to the current time t, making it more accurate than filtering.;
27;Which algorithm is used in HMMs to find the most likely sequence of hidden states given a sequence of observations?;Viterbi algorithm|Forward algorithm|Backward algorithm|Baum-Welch algorithm;Viterbi algorithm;The Viterbi algorithm is a dynamic programming approach that finds the maximum probability path (sequence of states) that explains the given observation sequence.;
28;What is the purpose of the Forward-Backward algorithm in HMMs?;To perform smoothing by computing probabilities of past states|To find the single most likely path|To learn the transition probabilities from scratch|To generate random sequences of states;To perform smoothing by computing probabilities of past states;The forward pass computes filtering up to a point, and the backward pass brings evidence from the future to smooth the estimate of a specific time step.;
29;If you want to estimate the state of the system multiple time steps into the future, which HMM task are you performing?;Prediction|Filtering|Smoothing|Viterbi decoding;Prediction;Prediction uses the transition model to project the current belief state into the future without any new observations.;
30;How does a Dynamic Bayesian Network (DBN) differ from a standard Hidden Markov Model (HMM)?;DBNs represent states as a set of variables rather than a single discrete variable|DBNs cannot handle time-series data|DBNs assume the Markov property does not hold|HMMs allow continuous states, while DBNs do not;DBNs represent states as a set of variables rather than a single discrete variable;DBNs factorize the state space into multiple interconnected variables, whereas standard HMMs collapse the entire state into one massive discrete variable.;
31;When two variables are strictly independent, what is their joint probability P(X, Y)?;P(X) * P(Y)|P(X) + P(Y)|P(X | Y)|P(Y | X);P(X) * P(Y);By definition, if X and Y are independent, their joint probability is the product of their marginal probabilities.;
32;In standard Exact Inference, what happens to the size of a factor when you sum out a variable?;The dimension of the factor decreases by one|The dimension of the factor increases by one|The factor becomes a scalar|The factor size remains the same;The dimension of the factor decreases by one;Summing out a variable from a factor removes that variable from the factor's scope, effectively projecting it onto the remaining dimensions.;
33;What is 'evidence' in the context of a Bayesian Network query?;Variables whose values are observed and known|Variables we are trying to predict|Hidden variables that must be summed out|The prior probabilities of root nodes;Variables whose values are observed and known;Evidence constitutes the observed facts that we condition our probability query on.;
34;Why is exact inference in Bayesian Networks considered NP-hard?;Because the time required can grow exponentially with the number of variables/treewidth|Because probabilities cannot be perfectly calculated by computers|Because conditional probability tables are impossible to store|Because graphs often contain cycles;Because the time required can grow exponentially with the number of variables/treewidth;For highly connected networks, intermediate factors during variable elimination grow exponentially large.;
35;In a causal chain structure (A -> B -> C), are A and C independent?;No, they are marginally dependent|Yes, they are marginally independent|Yes, they are conditionally independent|They are perfectly correlated;No, they are marginally dependent;Influence flows along the causal chain. A influences B, which influences C, making A and C dependent unless B is observed.;
36;What is the 'burn-in' period in Gibbs Sampling?;Initial samples that are discarded because they are too heavily influenced by the random starting state|The time it takes to compile the network|The process of rejecting samples that don't match the evidence|The final samples that determine the probability;Initial samples that are discarded because they are too heavily influenced by the random starting state;Gibbs sampling requires a warm-up period to converge to the true stationary distribution before samples are counted.;
37;Which inference algorithm is an example of a Markov Chain Monte Carlo (MCMC) method?;Gibbs Sampling|Variable Elimination|Forward Sampling|Likelihood Weighting;Gibbs Sampling;Gibbs sampling constructs a Markov chain whose stationary distribution is the posterior distribution of interest.;
38;In parameter learning with complete data, how is the Maximum Likelihood estimate for a CPT parameter calculated?;By simply counting frequencies in the dataset|By using gradient descent|By performing variable elimination|By applying the Viterbi algorithm;By simply counting frequencies in the dataset;With complete data, MLE is reduced to normalizing the empirical counts of events in the dataset.;
39;What does it mean for data to be 'complete' in the context of Bayesian Network learning?;Every variable's value is observed in every training example|There is an infinite amount of data|There are no noisy measurements|The correct network structure is already known;Every variable's value is observed in every training example;Complete data means there are no missing values or hidden variables, making parameter learning straightforward.;
40;When learning a network structure, what is the 'search space'?;The set of all possible Directed Acyclic Graphs (DAGs) over the given variables|The set of all possible parameter values|The space of all possible elimination orderings|The set of all possible queries;The set of all possible Directed Acyclic Graphs (DAGs) over the given variables;Structure learning algorithms must navigate this space to find the graph that best fits the data.;
41;Why do structure learning algorithms typically use local search methods like Hill Climbing?;Because exhaustive search over all DAGs is computationally impossible for many variables|Because Hill Climbing guarantees finding the global optimum|Because it requires less data|Because local search automatically calculates the parameters;Because exhaustive search over all DAGs is computationally impossible for many variables;The super-exponential size of the DAG space forces the use of greedy or local search algorithms.;
42;In a local search for structure learning, what are the typical operators applied to the graph?;Add edge, delete edge, reverse edge|Sum out, multiply, normalize|Filter, smooth, predict|Forward, backward, reject;Add edge, delete edge, reverse edge;These operators define the 'neighborhood' of the current graph, allowing the algorithm to step to a slightly different structure to check its score.;
43;What does the 'Stationary Assumption' in a dynamic model imply?;The transition model P(X_t | X_{t-1}) is the same for all time steps t|The system never changes its state|Observations are identical at every time step|The Markov blanket includes all future states;The transition model P(X_t | X_{t-1}) is the same for all time steps t;It means the rules governing how the state evolves do not change over time.;
44;In an HMM, what is the 'prior' distribution?;The probability distribution of the initial state, P(X_0)|The probability of the observations|The transition matrix|The sensor model;The probability distribution of the initial state, P(X_0);The prior defines the starting belief of the system at time step 0, before any transitions or observations occur.;
45;Which matrix defines the probability of transitioning from any state i to any state j in an HMM?;The Transition Matrix (A)|The Observation Matrix (B)|The Prior Vector (Pi)|The Covariance Matrix;The Transition Matrix (A);The A matrix encapsulates P(X_t = j | X_{t-1} = i) for all possible states.;
46;Which matrix defines the probability of seeing observation k given the system is in state j in an HMM?;The Observation Matrix (B)|The Transition Matrix (A)|The Prior Vector (Pi)|The Identity Matrix;The Observation Matrix (B);The B matrix (or Emission matrix) encapsulates P(E_t = k | X_t = j) for all states and observations.;
47;What is the primary difference between a Kalman Filter and a discrete Hidden Markov Model?;Kalman Filters handle continuous state spaces with linear Gaussian dynamics, while basic HMMs handle discrete states|Kalman filters do not use the Markov assumption|HMMs are used for smoothing, while Kalman filters are only for prediction|Kalman filters cannot handle noisy observations;Kalman Filters handle continuous state spaces with linear Gaussian dynamics, while basic HMMs handle discrete states;Kalman filters are the continuous, linear-Gaussian counterpart to discrete HMMs.;
48;In a Bayes Net, if nodes X and Y are d-separated by a set of nodes Z, what does this guarantee?;X and Y are conditionally independent given Z|X and Y have no directed path between them|Z is the Markov Blanket of X|X and Y are mutually exclusive;X and Y are conditionally independent given Z;D-separation is the graphical criterion that guarantees conditional independence in the underlying probability distribution.;
49;If a path between two nodes contains a v-structure (X -> Z <- Y) and Z is NOT observed, is the path active or blocked?;Blocked|Active|It depends on the priors|It becomes active only if X is observed;Blocked;In a v-structure, the path is blocked by default. It only becomes active if the common effect Z (or one of its descendants) is observed.;
50;What is the purpose of normalization after calculating the pointwise product of factors during inference?;To ensure the resulting probabilities sum to 1|To eliminate the hidden variables|To convert discrete variables into continuous ones|To apply the BIC penalty;To ensure the resulting probabilities sum to 1;Since intermediate calculations often result in unnormalized likelihoods, dividing by the sum of all entries ensures the final output is a valid probability distribution.;
