id;question;options;correct_answer;explanation;context_image
27;True or False: G1 cannot have higher ML score than G2 because it is anti-causal.;True|False;False;False. ML scores measure correlation fit. Anti-causal directions can fit correlations just as well as causal ones (Markov Equivalence).;info_struct_learn_2025.png
28;True or False: The probability that the robot is on for 1000 time steps is zero.;True|False;False;False. $0.8^{1000}$ is extremely small, but mathematically non-zero.;info_hmm_robot.png
29;True or False: If any entry in $\Pi$ is zero, then there is a state unreachable for the transition process.;True|False;False;False. $\Pi$ only defines time $t=0$. A state can have prob 0 at start but be reached later via transitions.;info_hmm_robot.png
30;True or False: If any entry in A is zero, then there is a state unreachable.;True|False;False;False. You might not reach it in 1 step, but could reach it in 2 or more steps (indirect path).;info_hmm_robot.png
31;True or False: If $o(1)=none$, the robot cannot be on.;True|False;False;False. Looking at matrix B, column 'none', row 'on': $P(none|on) = 0.1$. This is $>0$, so it is possible.;info_hmm_robot.png
32;True or False: When $o(t)=none$, $P(S|o)$ is [1,0] regardless of history.;True|False;False;False. Filtering depends on the previous state estimate (history) and the current observation likelihood. It is not determined solely by the current observation.;info_hmm_robot.png
33;True or False: If we added state 'charging', B would become 3x3.;True|False;True;True. Matrix B is (States x Observations). 2 states -> 3 states. 3 obs. Result 3x3.;info_hmm_robot.png
34;True or False: We cannot model a survey technique whose precision changes with the actual level of confidence.;True|False;True;True. Standard Kalman Filters assume constant Noise Covariance R. (Or time-varying $R_t$, but not $R$ dependent on state $X$).;info_kalman_consumer.png
35;True or False: We cannot model that confidence worsens more quickly than it improves.;True|False;True;True. Linear Gaussian models are symmetric. They cannot easily model "fast drop, slow recovery" dynamics.;info_kalman_consumer.png
36;True or False: Matrix A encodes assumptions about survey precision.;True|False;False;False. Matrix A is the Process/Transition model. Survey precision is the Observation model (Matrix R/Noise).;info_kalman_consumer.png
37;True or False: If confidence improves over time, A matrix changes.;True|False;False;False. A defines the *rules* of change, not the values. The values of X change, A stays constant.;info_kalman_consumer.png
38;To adapt model to a more volatile mood (stronger tendencies to change), adapt parameter:;A|B|Sigma_O|Sigma_X;Sigma_X;Volatility in the hidden state (how much it jumps) is modeled by the Process Noise Covariance, often denoted $\Sigma_x$, $\Sigma_{dyn}$, or $Q$. (Answer 'd' in PDF).;info_kalman_consumer.png
