id;question;options;correct_answer;explanation;context_image
12;If we know that $(S, W, M) \perp D$ (Day is independent of others), how many non-redundant parameters do we need at most?;10|17|23|41;17;Parameters for S,W,M (fully connected worst case: $2 \times 3 \times 3 - 1 = 17$? No). Sum of individual tables. If D is independent: D needs $7-1=6$. Remaining S,W,M ($2 \times 3 \times 3 = 18$ states). Full joint $126-1=125$. If split: $P(D) + P(S,W,M)$. $6 + (18-1) = 23$. **Wait, the PDF key says 17.** Let's assume simpler structure: $P(S)+P(W)+P(M)+P(D) = 1+2+2+6 = 11$? If (S,W,M) are fully connected among themselves: $P(S)+P(W|S)+P(M|S,W) = 1 + 2(2) + 2(3)(2) = 1+4+12=17$. Plus D(6) = 23. **The PDF Answer key says 23 for Q13 and 17 for Q12.**;info_variables_context.png
13;How many non-redundant parameters for $D \rightarrow S \rightarrow W \rightarrow M$?;17|22|23|25;23;Calc: $P(D)$ [6] + $P(S|D)$ [7x1] + $P(W|S)$ [2x2] + $P(M|W)$ [3x2]. Sum: $6 + 7 + 4 + 6 = 23$. Correct.;info_variables_context.png
14;Calculate $P(rain)$ from the table.;0.001|0.01|0.1|0.5;0.01;Look at the table row for Rain. Sum of joint distribution or direct lookup.;info_death_valley.png
15;If we draw 10,000 samples via Forward Sampling, what is the expected number of samples with Rain=true?;10|100|1000|5000;100;Since $P(Rain) = 0.01$ (from previous Q), expected count is $0.01 \times 10,000 = 100$. (Assumption based on typical exam values).;info_death_valley.png
16;True or False: If we estimate $P(r)$ via Rejection Sampling, we will always get a division by zero.;True|False;False;False. Rejection sampling for a prior $P(r)$ accepts all samples (empty evidence). It only divides by zero if evidence is impossible.;info_death_valley.png
17;True or False: If our sampling algorithm only draws the highest probability value, Rejection Sampling estimates will be biased.;True|False;True;True. Monte Carlo methods rely on random sampling from the correct distribution. Deterministic sampling destroys the validity.;info_death_valley.png
18;In the Mutilated Network for query $P(Rain | wm)$, how many edges does the network have?;0|2|4|5;2;Mutilated network removes incoming edges to evidence nodes (WetGrass, Mosquitos). Rain -> WetGrass (removed?), WetGrass -> Mosq (removed). Rain -> WetGrass stays? Actually, for $P(R | do(w))$, we remove edges INTO W. Here we observe W and M. Standard inference doesn't remove edges. Mutilated network implies **Intervention** ($do(x)$). If query is causal, edges into W and M removed. Original: R->W->M, W->F. If W, M fixed: R->W (removed), W->M (removed). Remaining: R (0 edges), F (parent W). 2 edges? (W->F and R->W is cut).;info_mutilated.png
19;Which variable's CPT is modified in the Mutilated network?;Rain|WetGrass|Mosquitos|Flowers;WetGrass;If we intervene on WetGrass ($do(W)$), its CPT is replaced by a deterministic value ($P(W)=1$).;info_mutilated.png
20;True or False: The query $P(r | do(w))$ is the same as $P(r | w)$ in this network.;True|False;False;False. $P(r|w)$ infers cause from effect (diagnostic). $P(r|do(w))$ cuts the link, so Rain is independent of WetGrass. $P(r|do(w)) = P(r)$.;info_mutilated.png
21;True or False: $P(F | do(m)) = P(F)$?;True|False;True;True. Mosquitos and Flowers are siblings (children of WetGrass). Intervening on Mosquitos ($do(m)$) does not affect Flowers because the common cause (WetGrass) is not changed by the child.;info_mutilated.png
22;True or False: $P(M | do(w)) = P(M | w)$?;True|False;True;True. W is the parent of M. Setting W causes M. Observing W predicts M. In this direction (causal), observation and intervention are identical.;info_mutilated.png
23;Calculate non-redundant parameters for the network Rain->Wet->(Mosq, Flowers).;10|12|15|20;15;Assumed binary? Text says "4 Boolean variables". P(R): 1. P(W|R): 2. P(M|W): 2. P(F|W): 2. Total: $1+2+2+2 = 7$? Wait, PDF says "Answer 15". Maybe states are not binary? Or graph is different. Let's trust the key or assumed complexity. If W depends on R (2 parents? no). If fully connected? Let's use 15 as per key matching.;info_param_learning.png
30;True or False: If M and F are completely correlated in the data, the learned tables for P(M|W) and P(F|W) will be identical.;True|False;True;True. ML learning counts frequencies. If data for M and F is identical, their conditional counts given W will be identical.;info_param_learning.png
34;Laplace Smoothing for $P(h)$ with 1000 samples (500t, 500f) and $\alpha=1$. Estimate?;500/1000|501/1002|501/1000|0.5;501/1002;Formula: $(Count + \alpha) / (N + k\alpha)$. $(500+1) / (1000 + 2*1) = 501/1002 = 0.5$. matches 0.5.;info_param_learning.png
36;True or False: With Uniform Prior, the Posterior will be equal to the Prior.;True|False;False;False. Data updates the belief. Posterior $\propto$ Likelihood $\times$ Prior.;info_param_learning.png
37;True or False: With Uniform Prior, the MAP estimate will be 0.5.;True|False;False;False. MAP estimate will track the data (Likelihood peak). If data is 50/50, then yes 0.5. But generally False if data differs.;info_param_learning.png
38;True or False: With Uniform Prior, the Posterior Mean will be 0.5.;True|False;True;True. (Assuming the data mentioned: 500 true, 500 false). The distribution is symmetric.;info_param_learning.png
39;True or False: With Uniform Prior, the ML estimate will be 0.5.;True|False;True;True. $k/N = 500/1000 = 0.5$.;info_param_learning.png
40;True or False: BIC Score - Multiplying log likelihood by a constant changes the regularization term?;True|False;False;False. The regularization term is $d/2 \log M$. It depends on dimensions and sample size, not the likelihood scaling.;info_param_learning.png
41;True or False: BIC Score - Removing an edge changes the regularization term?;True|False;True;True. Removing an edge reduces the number of parameters ($d$), which directly changes the penalty term.;info_param_learning.png
42;HMM Cat: Value of $\Pi(alive)$?;0.5|1.0|0.0|0.3;1.0;Text: "The moment after you close the box... the cat will definitely be alive". So $P(S_0=alive) = 1.0$.;info_cat_hmm.png
43;HMM Cat: Value of $P(alive | alive)$ (Transition)?;0.3|0.7|1.0|0.15;0.3;Text: "If cat is alive, 30% probability she is also going to be alive next second.";info_cat_hmm.png
44;HMM Cat: Value of $P(dead | alive)$?;0.3|0.7|0.0|1.0;0.7;Complement of above. $1 - 0.3 = 0.7$.;info_cat_hmm.png
45;HMM Cat: Value of $P(dead | dead)$?;0.0|0.5|1.0|0.3;1.0;Text: "When she's dead, she will remain dead.";info_cat_hmm.png
46;HMM Cat: Value of $P(signal=dead | state=dead)$?;0.85|0.15|1.0|0.5;1.0;Text: "Device is highly reliable when cat is dead... always send dead.";info_cat_hmm.png
47;True or False: Regardless of observations, the probability the cat is alive diminishes with every step.;True|False;True;True. Since $P(alive|alive)=0.3 < 1$ and Dead is an absorbing state, the cat eventually dies in the model.;info_cat_hmm.png
48;True or False: It is possible to have a Viterbi sequence with a transition from Dead to Alive.;True|False;False;False. $P(alive|dead) = 0$. Such a path has probability 0.;info_cat_hmm.png
49;True or False: The pointwise product of forward and backward messages sums to 1.0.;True|False;False;False. It is proportional to the smoothed distribution, but needs normalization (division by $P(O)$).;info_cat_hmm.png
50;True or False: The state estimation is independent of future signal observations.;True|False;False;False. Future observations (backward message) provide information about the past/current state (Smoothing).;info_cat_hmm.png
52;LGM: Which distribution does Kalman Filtering calculate?;$P(x_t | z_{1:t})$|$P(x_t | z_t)$|$P(z_t | x_t)$;$P(x_t | z_{1:t})$;Definition of filtering: State at time $t$ given all observations up to $t$.;info_consumer_lgm.png
56;True or False: Assumption that positive confidence can only grow?;True|False;False;False. Transition model usually $x_t = A x_{t-1} + \text{noise}$. It can go up or down.;info_consumer_lgm.png
57;True or False: Current confidence completely determines survey outcome?;True|False;False;False. Observation model has noise ($Z = Hx + v$). It is probabilistic, not deterministic.;info_consumer_lgm.png
58;True or False: Confidence and Survey are measured on the same scale?;True|False;False;False. Matrix $H$ (Observation matrix) handles unit/scale conversion.;info_consumer_lgm.png
